timestamp,source_ip,destination_ip,user,event_type,action,status,process,command,file,bytes_transferred
2026-09-01 10:00:20,192.168.1.10,10.0.0.25,rahul,network,connection,success,,,,2048
2026-09-01 10:00:39,10.0.0.21,10.0.0.15,rahul,process,process_start,success,chrome.exe,,,0
2026-09-01 10:01:10,192.168.1.20,10.0.0.15,rahul,authentication,login,success,,,,0
2026-09-01 10:02:05,192.168.1.45,10.0.0.15,rohan,process,process_start,success,outlook.exe,,,0
2026-09-01 10:02:20,192.168.1.45,10.0.0.20,priya,network,connection,success,,,,2048
2026-09-01 10:03:05,192.168.1.10,10.0.0.20,rahul,authentication,login,success,,,,0
2026-09-01 10:03:41,192.168.1.31,10.0.0.15,rohan,process,process_start,success,chrome.exe,,,0
2026-09-01 10:04:17,10.0.0.21,10.0.0.20,rahul,network,connection,success,,,,1024
2026-09-01 10:04:41,192.168.1.31,10.0.0.15,priya,file_access,read,success,,,notes.txt,0
2026-09-01 10:05:23,192.168.1.31,10.0.0.15,neha,network,request,success,,,,2048
2026-09-01 10:05:58,10.0.0.21,10.0.0.25,rahul,file_access,read,success,,,budget.xlsx,0
2026-09-01 10:06:39,192.168.1.31,10.0.0.25,neha,file_access,write,success,,,report.pdf,0
2026-09-01 10:07:07,192.168.1.31,10.0.0.20,rahul,network,connection,success,,,,2048
2026-09-01 10:07:53,192.168.1.20,10.0.0.25,amit,process,process_start,success,explorer.exe,,,0
2026-09-01 10:08:30,192.168.1.20,10.0.0.20,neha,file_access,read,success,,,presentation.pptx,0
2026-09-01 10:09:03,10.0.0.21,10.0.0.20,neha,network,connection,success,,,,2048
2026-09-01 10:09:36,192.168.1.10,10.0.0.15,neha,authentication,login,success,,,,0
2026-09-01 10:10:00,10.0.0.21,10.0.0.15,neha,process,process_start,success,explorer.exe,,,0
2026-09-01 10:10:49,10.0.0.21,10.0.0.20,neha,authentication,login,success,,,,0
2026-09-01 10:11:08,192.168.1.31,10.0.0.25,rohan,network,connection,success,,,,4096
2026-09-01 10:11:53,192.168.1.45,10.0.0.15,priya,network,connection,success,,,,1024
2026-09-01 10:12:35,10.0.0.21,10.0.0.25,amit,file_access,read,success,,,presentation.pptx,0
2026-09-01 10:12:55,10.0.0.21,10.0.0.15,rohan,network,request,success,,,,1024
2026-09-01 10:13:28,192.168.1.31,10.0.0.15,amit,authentication,login,success,,,,0
2026-09-01 10:14:18,192.168.1.10,10.0.0.25,rahul,process,process_start,success,chrome.exe,,,0
